>"SolutionNr";"Position";"[Buffer]";"{Buffer}";"Buffer";"pH";"[Ppt 1]";"{Ppt 1}";"Ppt 1"
#;#;;units;;;#;;units;
"1";"1";"0.1";"M";"BIS-TRIS propane";"7.0";"1.8";"M";"Sodium acetate trihydrate pH 7.0"
"2";"2";"0.1";"M";"BIS-TRIS propane";"7.0";"2.8";"M";"Sodium acetate trihydrate pH 7.0"
"3";"3";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.5";"M";"Ammonium chloride"
"4";"4";"0.1";"M";"BIS-TRIS propane";"7.0";"1.5";"M";"Ammonium chloride"
"5";"5";"0.1";"M";"Tris";"8.5";"1.5";"M";"Ammonium chloride"
"6";"6";"0.1";"M";"Sodium acetate trihydrate";"4.6";"3.5";"M";"Ammonium chloride"
"7";"7";"0.1";"M";"BIS-TRIS propane";"7.0";"3.5";"M";"Ammonium chloride"
"8";"8";"0.1";"M";"Tris";"8.5";"3.5";"M";"Ammonium chloride"
"9";"9";"0.1";"M";"Sodium acetate trihydrate";"4.6";"2.2";"M";"Sodium chloride"
"10";"10";"0.1";"M";"BIS-TRIS propane";"7.0";"2.2";"M";"Sodium chloride"
"11";"11";"0.1";"M";"Tris";"8.5";"2.2";"M";"Sodium chloride"
"12";"12";"0.1";"M";"Sodium acetate trihydrate";"4.6";"3.2";"M";"Sodium chloride"
"13";"13";"0.1";"M";"BIS-TRIS propane";"7.0";"3.2";"M";"Sodium chloride"
"14";"14";"0.1";"M";"Tris";"8.5";"3.2";"M";"Sodium chloride"
"15";"15";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.0";"M";"Ammonium citrate dibasic"
"16";"16";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.8";"M";"Ammonium citrate dibasic"
"17";"17";"0.1";"M";"BIS-TRIS propane";"7.0";"1.0";"M";"Ammonium citrate tribasic"
"18";"18";"0.1";"M";"BIS-TRIS propane";"7.0";"2.0";"M";"Ammonium citrate tribasic"
"19";"19";"0.1";"M";"BIS-TRIS propane";"7.0";"0.7";"M";"Sodium citrate tribasic dihydrate"
"20";"20";"0.1";"M";"Tris";"8.5";"0.7";"M";"Sodium citrate tribasic dihydrate"
"21";"21";"0.1";"M";"BIS-TRIS propane";"7.0";"1.2";"M";"Sodium citrate tribasic dihydrate"
"22";"22";"0.1";"M";"Tris";"8.5";"1.2";"M";"Sodium citrate tribasic dihydrate"
"23";"23";"0.1";"M";"Sodium acetate trihydrate";"4.6";"0.4";"M";"Magnesium formate dihydrate"
"24";"24";"0.1";"M";"BIS-TRIS propane";"7.0";"0.4";"M";"Magnesium formate dihydrate"
"25";"25";"0.1";"M";"Tris";"8.5";"0.4";"M";"Magnesium formate dihydrate"
"26";"26";"0.1";"M";"BIS-TRIS propane";"7.0";"0.7";"M";"Magnesium formate dihydrate"
"27";"27";"0.1";"M";"Sodium acetate trihydrate";"4.6";"2.0";"M";"Sodium formate"
"28";"28";"0.1";"M";"BIS-TRIS propane";"7.0";"2.0";"M";"Sodium formate"
"29";"29";"0.1";"M";"Tris";"8.5";"2.0";"M";"Sodium formate"
"30";"30";"0.1";"M";"Sodium acetate trihydrate";"4.6";"3.5";"M";"Sodium formate"
"31";"31";"0.1";"M";"BIS-TRIS propane";"7.0";"3.5";"M";"Sodium formate"
"32";"32";"0.1";"M";"Tris";"8.5";"3.5";"M";"Sodium formate"
"33";"33";"0.1";"M";"BIS-TRIS propane";"7.0";"1.2";"M";"DL-Malic acid pH 7.0"
"34";"34";"0.1";"M";"BIS-TRIS propane";"7.0";"2.2";"M";"DL-Malic acid pH 7.0"
"35";"35";"0.1";"M";"BIS-TRIS propane";"7.0";"1.4";"M";"Sodium malonate pH 7.0"
"36";"36";"0.1";"M";"BIS-TRIS propane";"7.0";"2.4";"M";"Sodium malonate pH 7.0"
"37";"37";"0.1";"M";"Sodium acetate trihydrate";"4.6";"2.5";"M";"Ammonium nitrate"
"38";"38";"0.1";"M";"BIS-TRIS propane";"7.0";"2.5";"M";"Ammonium nitrate"
"39";"39";"0.1";"M";"Tris";"8.5";"2.5";"M";"Ammonium nitrate"
"40";"40";"0.1";"M";"Sodium acetate trihydrate";"4.6";"6.0";"M";"Ammonium nitrate"
"41";"41";"0.1";"M";"BIS-TRIS propane";"7.0";"6.0";"M";"Ammonium nitrate"
"42";"42";"0.1";"M";"Tris";"8.5";"6.0";"M";"Ammonium nitrate"
"43";"43";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.5";"M";"Sodium nitrate"
"44";"44";"0.1";"M";"BIS-TRIS propane";"7.0";"1.5";"M";"Sodium nitrate"
"45";"45";"0.1";"M";"Tris";"8.5";"1.5";"M";"Sodium nitrate"
"46";"46";"0.1";"M";"Sodium acetate trihydrate";"4.6";"4.0";"M";"Sodium nitrate"
"47";"47";"0.1";"M";"BIS-TRIS propane";"7.0";"4.0";"M";"Sodium nitrate"
"48";"48";"0.1";"M";"Tris";"8.5";"4.0";"M";"Sodium nitrate"
"49";"49";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.0";"M";"Ammonium phosphate monobasic"
"50";"50";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.8";"M";"Ammonium phosphate monobasic"
"51";"51";"0.1";"M";"Tris";"8.5";"1.5";"M";"Ammonium phosphate dibasic"
"52";"52";"0.1";"M";"Tris";"8.5";"2.4";"M";"Ammonium phosphate dibasic"
"53";"53";"1.0";"M";"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic ";"5.0";"";"";""
"54";"54";"1.0";"M";"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic";"6.9";"";"";""
"55";"55";"1.0";"M";"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic";"8.2";"";"";""
"56";"56";"1.8";"M";"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic";"5.0";"";"";""
"57";"57";"1.8";"M";"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic";"6.9";"";"";""
"58";"58";"1.8";"M";"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic";"8.2";"";"";""
"59";"59";"0.1";"M";"BIS-TRIS propane";"7.0";"0.5";"M";"Succinic acid pH 7.0"
"60";"60";"0.1";"M";"BIS-TRIS propane";"7.0";"1.0";"M";"Succinic acid pH 7.0"
"61";"61";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.5";"M";"Ammonium sulfate"
"62";"62";"0.1";"M";"BIS-TRIS propane";"7.0";"1.5";"M";"Ammonium sulfate"
"63";"63";"0.1";"M";"Tris";"8.5";"1.5";"M";"Ammonium sulfate"
"64";"64";"0.1";"M";"Sodium acetate trihydrate";"4.6";"2.5";"M";"Ammonium sulfate"
"65";"65";"0.1";"M";"BIS-TRIS propane";"7.0";"2.5";"M";"Ammonium sulfate"
"66";"66";"0.1";"M";"Tris";"8.5";"2.5";"M";"Ammonium sulfate"
"67";"67";"0.1";"M";"Sodium acetate trihydrate";"4.6";"0.8";"M";"Lithium sulfate monohydrate"
"68";"68";"0.1";"M";"BIS-TRIS propane";"7.0";"0.8";"M";"Lithium sulfate monohydrate"
"69";"69";"0.1";"M";"Tris";"8.5";"0.8";"M";"Lithium sulfate monohydrate"
"70";"70";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.5";"M";"Lithium sulfate monohydrate"
"71";"71";"0.1";"M";"BIS-TRIS propane";"7.0";"1.5";"M";"Lithium sulfate monohydrate"
"72";"72";"0.1";"M";"Tris";"8.5";"1.5";"M";"Lithium sulfate monohydrate"
"73";"73";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.0";"M";"Magnesium sulfate hydrate"
"74";"74";"0.1";"M";"BIS-TRIS propane";"7.0";"1.0";"M";"Magnesium sulfate hydrate"
"75";"75";"0.1";"M";"Tris";"8.5";"1.0";"M";"Magnesium sulfate hydrate"
"76";"76";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.8";"M";"Magnesium sulfate hydrate"
"77";"77";"0.1";"M";"BIS-TRIS propane";"7.0";"1.8";"M";"Magnesium sulfate hydrate"
"78";"78";"0.1";"M";"Tris";"8.5";"1.8";"M";"Magnesium sulfate hydrate"
"79";"79";"0.1";"M";"Sodium acetate trihydrate";"4.6";"0.7";"M";"Ammonium tartrate dibasic"
"80";"80";"0.1";"M";"BIS-TRIS propane";"7.0";"0.7";"M";"Ammonium tartrate dibasic"
"81";"81";"0.1";"M";"Tris";"8.5";"0.7";"M";"Ammonium tartrate dibasic"
"82";"82";"0.1";"M";"Sodium acetate trihydrate";"4.6";"1.0";"M";"Ammonium tartrate dibasic"
"83";"83";"0.1";"M";"BIS-TRIS propane";"7.0";"1.3";"M";"Ammonium tartrate dibasic"
"84";"84";"0.1";"M";"Tris";"8.5";"1.4";"M";"Ammonium tartrate dibasic"
"85";"85";"0.1";"M";"BIS-TRIS propane";"7.0";"0.6";"M";"Potassium sodium tartrate tetrahydrate"
"86";"86";"0.1";"M";"BIS-TRIS propane";"7.0";"1.2";"M";"Potassium sodium tartrate tetrahydrate"
"87";"87";"0.1";"M";"Tris";"8.5";"0.6";"M";"Potassium sodium tartrate tetrahydrate"
"88";"88";"0.1";"M";"Tris";"8.5";"1.2";"M";"Potassium sodium tartrate tetrahydrate"
"89";"89";"0.1";"M";"Sodium acetate trihydrate";"4.6";"0.5";"M";"Potassium thiocyanate"
"90";"90";"0.1";"M";"BIS-TRIS propane";"7.0";"0.5";"M";"Potassium thiocyanate"
"91";"91";"0.1";"M";"Tris";"8.5";"0.5";"M";"Potassium thiocyanate"
"92";"92";"0.1";"M";"Sodium acetate trihydrate";"4.6";"4.0";"M";"Ammonium acetate"
"93";"93";"0.1";"M";"BIS-TRIS propane";"7.0";"4.0";"M";"Ammonium acetate"
"94";"94";"0.1";"M";"Tris";"8.5";"4.0";"M";"Ammonium acetate"
"95";"95";"0.1";"M";"BIS-TRIS propane";"7.0";"35";"% v/v";"Tacsimate  pH 7.0"
"96";"96";"0.1";"M";"BIS-TRIS propane";"7.0";"60";"% v/v";"Tacsimate pH 7.0"
